,Code,FIPS,StateFIPS,CountyFIPS,County,State,Country,Latitude,Longitude,Generation(MWh),Emissions(tons)
8036,63971,34011,34,011,Cumberland,New Jersey,USA,39.415336,-75.235661,2642.0,0.0
8037,60201,34007,34,007,Camden,New Jersey,USA,39.941853,-75.026208,1762.0,0.0
8038,10122,34035,34,035,Somerset,New Jersey,USA,40.624,-74.634,28265.16,8735.883
8039,62027,34013,34,013,Essex,New Jersey,USA,40.838568,-74.312476,1010.0,0.0
8040,57081,34011,34,011,Cumberland,New Jersey,USA,39.4636,-75.0667,5640.0,0.0
8041,10751,34007,34,007,Camden,New Jersey,USA,39.9175,-75.1192,75951.0,44151.365
8042,10435,34007,34,007,Camden,New Jersey,USA,39.9092,-75.1169,172759.0,206941.548
8043,63334,34005,34,005,Burlington,New Jersey,USA,40.056213,-74.880941,5981.0,0.0
8044,66089,34035,34,035,Somerset,New Jersey,USA,40.535,-74.563,3696.0,0.0
8045,65705,34013,34,013,Essex,New Jersey,USA,40.74525,-74.34379,7672.0,0.0
8046,2379,34011,34,011,Cumberland,New Jersey,USA,39.4547,-75.2014,4523.0,4542.766
8047,59297,34035,34,035,Somerset,New Jersey,USA,40.47,-74.685,1635.0,0.0
8048,64380,34023,34,023,Middlesex,New Jersey,USA,40.55879,-74.45646,2920.0,0.0
8049,60266,34001,34,001,Atlantic,New Jersey,USA,39.503337,-74.964482,9747.0,0.0
8050,65623,34001,34,001,Atlantic,New Jersey,USA,39.551,-74.627,2466.0,0.0
8051,59630,34025,34,025,Monmouth,New Jersey,USA,40.236111,-74.321389,3580.0,0.0
8052,63355,34023,34,023,Middlesex,New Jersey,USA,40.550342,-74.482969,3114.0,0.0
8053,57734,34007,34,007,Camden,New Jersey,USA,39.876111,-75.008611,1445.0,0.0
8054,58094,34005,34,005,Burlington,New Jersey,USA,40.104167,-74.812778,2573.0,0.0
8055,65465,34005,34,005,Burlington,New Jersey,USA,40.01583,-74.98355,17126.0,0.0
8056,58208,34023,34,023,Middlesex,New Jersey,USA,40.465278,-74.393889,0.0,0.0
8057,58235,34011,34,011,Cumberland,New Jersey,USA,39.424444,-75.02,87436.999,50654.84
8058,58165,34021,34,021,Mercer,New Jersey,USA,40.269444,-74.773333,33737.0,10546.613
8059,63356,34005,34,005,Burlington,New Jersey,USA,40.152302,-74.657754,2862.0,0.0
8060,63357,34015,34,015,Gloucester,New Jersey,USA,39.817319,-75.196874,5592.0,0.0
8061,60776,34039,34,039,Union,New Jersey,USA,40.697259,-74.212235,950.0,0.0
8062,62598,34039,34,039,Union,New Jersey,USA,40.666976,-74.407814,1452.0,0.0
8063,58029,34005,34,005,Burlington,New Jersey,USA,39.928889,-74.818056,5522.0,0.0
8064,58536,34025,34,025,Monmouth,New Jersey,USA,40.352222,-74.187778,2958.0,0.0
8065,58512,34011,34,011,Cumberland,New Jersey,USA,39.439722,-75.043889,3924.0,0.0
8066,58359,34011,34,011,Cumberland,New Jersey,USA,39.496667,-75.018611,2867.0,0.0
8067,58881,34027,34,027,Morris,New Jersey,USA,40.856667,-74.581389,3912.0,0.0
8068,10643,34013,34,013,Essex,New Jersey,USA,40.7376,-74.1255,438066.0,544502.24
8069,59446,34023,34,023,Middlesex,New Jersey,USA,40.314722,-74.499167,6487.0,0.0
8070,67062,34021,34,021,Mercer,New Jersey,USA,40.302,-74.496,1566.0,0.0
8071,56884,34011,34,011,Cumberland,New Jersey,USA,39.4494,-75.0928,21384.0,0.001
8072,5083,34011,34,011,Cumberland,New Jersey,USA,39.3757,-74.9654,65598.004,40650.466
8073,63492,34005,34,005,Burlington,New Jersey,USA,40.108316,-74.826404,17468.0,10836.542
8074,63286,34015,34,015,Gloucester,New Jersey,USA,39.822945,-75.216293,5603.0,0.0
8075,61515,34007,34,007,Camden,New Jersey,USA,39.910969,-75.1186,1594.0,0.0
8076,62586,34027,34,027,Morris,New Jersey,USA,40.777783,-74.427242,2739.0,0.0
8077,62958,34039,34,039,Union,New Jersey,USA,40.640209,-74.234881,2467.0,0.0
8078,62957,34023,34,023,Middlesex,New Jersey,USA,40.52132,-74.347394,6231.0,0.0
8079,61507,34015,34,015,Gloucester,New Jersey,USA,39.575217,-75.014147,3774.0,0.0
8080,66021,34007,34,007,Camden,New Jersey,USA,39.85853,-75.010346,3824.0,0.0
8081,66028,34007,34,007,Camden,New Jersey,USA,39.921831,-75.092539,4319.0,0.0
8082,65658,34007,34,007,Camden,New Jersey,USA,39.831654,-74.999234,8739.0,0.0
8083,66020,34007,34,007,Camden,New Jersey,USA,39.907271,-75.046925,5859.0,0.0
8084,62713,34041,34,041,Warren,New Jersey,USA,40.836806,-75.065465,15888.0,0.0
8085,60739,34041,34,041,Warren,New Jersey,USA,40.843699,-75.065155,5337.0,0.0
8086,62492,34001,34,001,Atlantic,New Jersey,USA,39.3733,-74.4369,55343.0,37462.214
8087,62905,34005,34,005,Burlington,New Jersey,USA,40.053,-74.556,7496.0,0.0
8088,64411,34005,34,005,Burlington,New Jersey,USA,40.04936,-74.9353,4187.0,0.0
8089,58951,34001,34,001,Atlantic,New Jersey,USA,39.416111,-74.543889,12367.0,0.0
8090,61864,34005,34,005,Burlington,New Jersey,USA,39.977433,-74.621862,14128.0,0.0
8091,57397,34023,34,023,Middlesex,New Jersey,USA,40.369772,-74.58685,4168.0,0.0
8092,66815,34035,34,035,Somerset,New Jersey,USA,40.550482,-74.54496,2389.0,0.0
8093,10805,34039,34,039,Union,New Jersey,USA,40.6781,-74.2744,152825.44,68.245
8094,64327,34029,34,029,Ocean,New Jersey,USA,39.984,-74.238,34784.0,0.0
8095,50799,34023,34,023,Middlesex,New Jersey,USA,40.460717,-74.327161,8398.0,5109.156
8096,63702,34017,34,017,Hudson,New Jersey,USA,40.77536,-74.070335,10444.0,0.0
8097,63703,34017,34,017,Hudson,New Jersey,USA,40.77853,-74.07224,13351.0,0.0
8098,63706,34017,34,017,Hudson,New Jersey,USA,40.77782,-74.07591,14449.0,0.0
8099,57574,34021,34,021,Mercer,New Jersey,USA,40.281801,-74.793638,809.0,0.0
8100,50561,34015,34,015,Gloucester,New Jersey,USA,39.8746,-75.1592,238499.0,121639.011
8101,60327,34019,34,019,Hunterdon,New Jersey,USA,40.443266,-74.876373,2656.0,0.0
8102,60727,34013,34,013,Essex,New Jersey,USA,40.747582,-74.335762,5756.0,0.0
8103,67067,34023,34,023,Middlesex,New Jersey,USA,40.53,-74.387,464.0,0.0
8104,67066,34023,34,023,Middlesex,New Jersey,USA,40.53,-74.402,1281.0,0.0
8105,67050,34023,34,023,Middlesex,New Jersey,USA,40.662,-74.167,1989.0,0.0
8106,66428,34027,34,027,Morris,New Jersey,USA,40.768436,-74.498739,3635.0,0.0
8107,59367,34023,34,023,Middlesex,New Jersey,USA,40.33,-74.4625,706.0,0.0
8108,63540,34013,34,013,Essex,New Jersey,USA,40.7205,-74.1263,22523.34,14504.621
